category                               predmet                                                oborot availibility
Игрушки                                Наборыдляпесочницы                                         62 Нормальнаядоступность
ФотоиВидеотехника                      Линзыдлякамер                                              31 Дефицит
Товарыдлявзрослых                      Вибропули                                                  68 Нормальнаядоступность
Товарыдлявзрослых                      Ароматизаторыэротик                                        15 Дефицит
Спортивноепитаниеикосметика            Креатины                                                   35 Дефицит
Автомобильныетовары                    Органайзерынасиденья                                       84 Нормальнаядоступность
Товарыдляживотных                      Тримминги                                                  54 Дефицит
Сантехника                             Столешницыдляванной                                         1 Дефицит
Электротранспорт                       Сигвеи                                                      6 Дефицит
Обувь                                  Полуботинки                                               161 Избыток
Красота                                Кистикосметические                                         42 Дефицит
Спортивныеаксессуары                   Седладлялошади                                              3 Дефицит
Смартфоныиаксессуары                   Осветителидлясмартфона                                     37 Дефицит
Сантехника                             Пескоуловители                                              0 Дефицит
Автомобильныетовары                    Комплектующиекфонарямосвещения                              0 Дефицит
Товарыдляотдыхаикемпинга               Наборыаксессуаровдлябани                                   37 Дефицит
Белье                                  Подкладкидлябретелей                                       97 Нормальнаядоступность
Книжнаяпродукцияидиски                 Обучающиедиски                                             43 Дефицит
Посудаиинвентарь                       Терки                                                      31 Дефицит
Строительныематериалы                  Смазкидлябуров                                              0 Дефицит
Строительныематериалы                  Пробковыекомпенсаторы                                       1 Дефицит
Игрушки                                Сюжетныеигровыенаборы                                      24 Дефицит
Товарыдляживотных                      Ветеринарныесельскохозяйственныеинструменты                31 Дефицит
Хозяйственныетовары                    Ополаскивателидляпосудомоечныхмашин                        24 Дефицит
Мебель                                 Табуреты                                                   12 Дефицит
Посудаиинвентарь                       Касалетки                                                   1 Дефицит
Спортивнаяодежда                       Термоджемперыспортивные                                    74 Нормальнаядоступность
Оргтехника                             МФУ                                                         1 Дефицит
Товарыдлявзрослых                      Рамки18+                                                    0 Дефицит
ФотоиВидеотехника                      Телесуфлеры                                                27 Дефицит
Здоровье                               Детскиегелидлядесен                                       108 Нормальнаядоступность
Здоровье                               Ремнидляфиксации                                           54 Дефицит
Красота                                Спонжи                                                     53 Дефицит
Игрушки                                Мягкиеигрушки                                              14 Дефицит
Одежда                                 Бермуды                                                   261 Избыток
СпецодеждаиСИЗы                        Жилетымедицинские                                          40 Дефицит
Рукоделие                              Глинадлялепки                                              24 Дефицит
Автомобильныетовары                    Масленкидлясмазки                                          26 Дефицит
Спортивныйтовар                        Плоскогубцырыболовные                                      35 Дефицит
Техникадлякухни                        Аксессуарыдлядуховок                                       13 Дефицит
Бытоваятехника                         Фрезыдляманикюра                                           31 Дефицит
Строительныематериалы                  Пенополистирол                                            999 Избыток
Спортивныйтовар                        Велоинструменты                                           114 Нормальнаядоступность
Товарыдлямалышей                       Постельноебельедлямалышей                                  29 Дефицит
Посудаиинвентарь                       Соусники                                                   24 Дефицит
Красота                                Колпачкидляпигментов                                       24 Дефицит
Автомобильныетовары                    Блокиуправлениявентилятора                                  6 Дефицит
Спортивныйтовар                        Карабины                                                   61 Нормальнаядоступность
Посудаиинвентарь                       Нитикулинарные                                             12 Дефицит
Дом                                    Упорыпоясничные                                            30 Дефицит
Строительныематериалы                  Панелидлякухонныхфартуков                                  27 Дефицит
Игрушки                                Погремушки                                                 48 Дефицит
Здоровье                               Аптечки                                                    48 Дефицит
Мебель                                 Стеллажидетские                                             4 Дефицит
Сетевоеоборудование                    PoEинжекторы                                               66 Нормальнаядоступность
Канцелярскиетовары                     Стикеры18+                                                 12 Дефицит
Товарыдляотдыхаикемпинга               Ремкомплектыдлябассейнов                                   54 Дефицит
Электроника                            Охладителидлябутылок                                       18 Дефицит
Садоваятехника                         Переходникидлябассейна                                     16 Дефицит
Товарыдляживотных                      Толстовкидляживотных                                       57 Дефицит
Строительныематериалы                  Держателидлявентканалов                                     0 Дефицит
Строительныеинструменты                Уровнистроительные                                         14 Дефицит
Профессиональныемузыкальныеинструменты Флейты                                                     14 Дефицит
Дом                                    Ершоваязагрузка                                             0 Дефицит
Спортивныйтовар                        Лескарыболовная                                            42 Дефицит
Техникадлякухни                        Измельчителиэлектрические                                  25 Дефицит
Красота                                Краскидлябровейиресниц                                     49 Дефицит
Товарыдляживотных                      Присоскидляаквариумов                                      21 Дефицит
Автомобильныетовары                    Прокладкикартера                                            0 Дефицит
Хозяйственныетовары                    Средствадляобоевистен                                      29 Дефицит
Одеждадлямалышей                       Халатыбанныедлямалышей                                     36 Дефицит
Товарыдлямалышей                       Автокресладетские                                          18 Дефицит
Профессиональныемузыкальныеинструменты Горнымузыкальные                                            1 Дефицит
Одеждадлямалышей                       Свитерыдлямалышей                                          42 Дефицит
Вседлясадоводства                      Бактериидляпереработкинавоза                               26 Дефицит
Дляпраздника                           Елки                                                        3 Дефицит
Красота                                Держателизубнойнити                                         0 Дефицит
Красота                                Уходзазубнымипротезами                                     36 Дефицит
ФотоиВидеотехника                      Контроллерывидеосигнала                                     5 Дефицит
Телевизорыиаудиотехника                Диктофоны                                                  30 Дефицит
Красота                                Молочко                                                    46 Дефицит
Строительныематериалы                  Бумаганаждачная                                            18 Дефицит
Техникадлякухни                        Запчастидляплит                                             5 Дефицит
Автомобильныетовары                    Соединительныеэлементы                                    999 Избыток
Одежда                                 Пуховики                                                   56 Дефицит
Мебель                                 Столы                                                      11 Дефицит
Сетевоеоборудование                    Модемы                                                     11 Дефицит
Бельедлямалышей                        Кальсоныдлямалышей                                         92 Нормальнаядоступность
Вседлясадоводства                      Саженцы                                                     2 Дефицит
Рукоделие                              Колодкипортновские                                          8 Дефицит
Вседлясадоводства                      Кармашкидлярассады                                         77 Нормальнаядоступность
Товарыдлявзрослых                      Анальныегруши                                              47 Дефицит
